x,y,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,r2_x,r2_y,t1_x,t1_y,t2_x,t2_y,ref_x,ref_y,ref_z,tar_y,tar_x,tar_z,exx,eyy,ezz,exy,eyz,ezx,
297.00000000,513.00000000,-2.93935013,-1.20075226,0.63861084,0.96937639,0.99206936,0.96700799,254.03768921,465.67233276,249.29434204,493.02130127,202.41307068,444.61529541,-33.83222198,-64.13761139,398.25082397,-36.77157211,-65.33836365,398.88943481,0.11790516,-0.02131922,0.16343708,0.00470433,-0.02257728,0.15276690,
297.00000000,522.00000000,-2.88233948,-1.21728897,0.62988281,0.96790135,0.99148887,0.96563876,253.98025513,474.91674805,250.24189758,501.72711182,203.36712646,453.59301758,-33.81769180,-63.60097885,398.25891113,-36.70003128,-64.81826782,398.88879395,0.00701948,-0.02496164,0.14842537,0.02228151,0.02913365,-0.15646020,
297.00000000,531.00000000,-2.82324219,-1.23534393,0.61602783,0.96974504,0.99119127,0.96868259,253.92828369,484.18731689,251.22480774,510.41394043,204.37542725,462.56271362,-33.80270004,-63.06360626,398.27059937,-36.62594223,-64.29895020,398.88662720,-0.01379162,-0.02654627,-0.12501219,0.02750600,0.05011453,-0.24227911,
297.00000000,540.00000000,-2.76288986,-1.25394440,0.60415649,0.97095203,0.99235767,0.97045314,253.92277527,493.45031738,252.23202515,519.09368896,205.44143677,471.51400757,-33.78707886,-62.52636337,398.27249146,-36.54996872,-63.78030777,398.87664795,0.08587399,-0.02715569,-0.30572689,0.02423546,0.05003456,-0.00537173,
297.00000000,549.00000000,-2.69864655,-1.27320862,0.59323120,0.97048408,0.99263281,0.97101772,253.90640259,502.71249390,253.29672241,527.75183105,206.57009888,480.46386719,-33.77164459,-61.98913956,398.27612305,-36.47029114,-63.26234818,398.86935425,0.18937220,-0.02488046,-0.25192285,0.00366652,-0.03830382,0.26581028,
297.00000000,558.00000000,-2.63175201,-1.29363632,0.57885742,0.96958280,0.99245292,0.97043848,253.84732056,511.98406982,254.40878296,536.39941406,207.70819092,489.39532471,-33.75674820,-61.45163727,398.28939819,-36.38850021,-62.74527359,398.86825562,0.06366009,-0.02322713,-0.09026134,0.00293125,-0.08948761,-0.06127823,
297.00000000,567.00000000,-2.56273270,-1.31489563,0.56567383,0.96585947,0.99215835,0.96768403,253.81167603,521.25024414,255.55603027,545.03125000,208.90383911,498.30926514,-33.74155807,-60.91424942,398.29718018,-36.30429077,-62.22914505,398.86285400,0.05426627,-0.02418809,0.00315519,0.00478657,-0.09272057,-0.08596813,
297.00000000,576.00000000,-2.49063873,-1.33613968,0.55303955,0.96882105,0.99271369,0.97027600,253.76882935,530.48767090,256.75170898,553.65954590,210.14494324,507.19903564,-33.72685242,-60.37765121,398.30169678,-36.21749115,-61.71379089,398.85473633,0.09915633,-0.02721474,-0.15646255,0.01552849,-0.03211074,0.01594941,
297.00000000,585.00000000,-2.41543579,-1.35919952,0.54312134,0.96951854,0.99298853,0.97169840,253.73695374,539.77362061,258.01171875,562.26611328,211.43305969,516.09790039,-33.71133423,-59.83962250,398.31243896,-36.12677002,-61.19882202,398.85556030,0.07297523,-0.03036922,-0.13721156,0.02938969,0.02078097,-0.06118087,
297.00000000,594.00000000,-2.33644104,-1.38305664,0.52062988,0.97007734,0.99358690,0.97121972,253.68267822,549.06567383,259.31039429,570.85229492,212.81936646,524.99719238,-33.69607544,-59.30138016,398.32843018,-36.03251648,-60.68443680,398.84906006,0.03452820,-0.02957787,-0.19215658,0.02917013,-0.00636718,-0.17404835,
