x,y,u0,v0,u,v,exx,eyy,exy,zncc,iteration,convergence,feature,
94.00000000,32.00000000,-0.42843717,-4.15078545,-0.43134308,-4.16286135,0.00000000,0.00000000,0.00000000,0.99698192,3.00000000,0.00037307,56.00000000,
96.00000000,32.00000000,-0.42914671,-4.14998913,-0.42845604,-4.16297293,0.00000000,0.00000000,0.00000000,0.99696183,3.00000000,0.00042239,60.00000000,
98.00000000,32.00000000,-0.42984554,-4.14961767,-0.42906457,-4.16156483,0.00000000,0.00000000,0.00000000,0.99695343,3.00000000,0.00072864,58.00000000,
100.00000000,32.00000000,-0.43380952,-4.15105247,-0.43035924,-4.16344643,0.00000000,0.00000000,0.00000000,0.99681640,3.00000000,0.00044603,58.00000000,
102.00000000,32.00000000,-0.43378454,-4.15134430,-0.43288463,-4.16498327,0.00000000,0.00000000,0.00000000,0.99687469,3.00000000,0.00047981,61.00000000,
104.00000000,32.00000000,-0.43675366,-4.15166807,-0.43108475,-4.16194725,0.00000000,0.00000000,0.00000000,0.99690354,3.00000000,0.00050631,63.00000000,
106.00000000,32.00000000,-0.44060305,-4.14859247,-0.43341586,-4.15931082,0.00000000,0.00000000,0.00000000,0.99695390,3.00000000,0.00089606,56.00000000,
108.00000000,32.00000000,-0.43616968,-4.15103626,-0.43477434,-4.15702152,0.00000000,0.00000000,0.00000000,0.99690777,3.00000000,0.00065993,59.00000000,
110.00000000,32.00000000,-0.43494272,-4.15373850,-0.43546045,-4.15594387,0.00000000,0.00000000,0.00000000,0.99692404,3.00000000,0.00058731,58.00000000,
112.00000000,32.00000000,-0.43558544,-4.15108585,-0.43430650,-4.15585709,0.00000000,0.00000000,0.00000000,0.99689585,3.00000000,0.00054475,56.00000000,
114.00000000,32.00000000,-0.43266770,-4.14343929,-0.43690339,-4.15468407,0.00000000,0.00000000,0.00000000,0.99684632,3.00000000,0.00082414,52.00000000,
116.00000000,32.00000000,-0.44061452,-4.14510250,-0.43465123,-4.16134930,0.00000000,0.00000000,0.00000000,0.99681479,4.00000000,0.00018152,53.00000000,
118.00000000,32.00000000,-0.44037709,-4.14637375,-0.43313047,-4.16049671,0.00000000,0.00000000,0.00000000,0.99681652,3.00000000,0.00075973,54.00000000,
120.00000000,32.00000000,-0.44260168,-4.14768600,-0.43384141,-4.15816116,0.00000000,0.00000000,0.00000000,0.99682927,3.00000000,0.00066621,59.00000000,
122.00000000,32.00000000,-0.44602489,-4.14568996,-0.43588594,-4.16008854,0.00000000,0.00000000,0.00000000,0.99682659,3.00000000,0.00058531,56.00000000,
124.00000000,32.00000000,-0.44712213,-4.14790916,-0.43341324,-4.15977764,0.00000000,0.00000000,0.00000000,0.99677587,3.00000000,0.00066171,58.00000000,
