x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
30,424,-0.22243434,-2.99261665,0,-3,0.99791974,4,0.00030844,0,-0.00059763,0.00370896,0.00057725
32,424,-0.22459164,-2.99549198,0,-3,0.99794507,4,0.00033493,0,-0.00066308,0.00372282,0.0005802
34,424,-0.22499384,-2.99777579,0,-3,0.99795693,4,0.00042001,0,-0.00071416,0.00373464,0.00057018
36,424,-0.22556947,-3.0007751,0,-3,0.99789673,4,0.00057698,0,-0.00075631,0.00374533,0.0005533
38,424,-0.22589469,-3.00378203,0,-3,0.99786395,4,0.00066633,0,-0.00078775,0.00375426,0.00053427
40,424,-0.22690307,-3.0066483,0,-3,0.99793917,4,0.00060235,0,-0.00082124,0.00376955,0.00051971
42,424,-0.22840618,-3.00811243,0,-3,0.99794632,4,0.0005417,0,-0.00084746,0.00378512,0.00049947
44,424,-0.23114759,-3.01117015,0,-3,0.99792469,4,0.00067909,0,-0.00087362,0.00379977,0.00047535
46,424,-0.23153913,-3.01274276,0,-3,0.99787784,4,0.00051394,0,-0.00090334,0.00382043,0.00045022
48,424,-0.23235768,-3.01388383,0,-3,0.99792039,4,0.00064029,0,-0.00093488,0.00384144,0.0004244
50,424,-0.23676576,-3.0188911,0,-3,0.99795926,4,0.0006643,0,-0.00098666,0.00386223,0.00039295
52,424,-0.23868957,-3.02318263,0,-3,0.99787283,4,0.00044274,0,-0.00105896,0.00388046,0.00035601
54,424,-0.24039863,-3.02677226,0,-3,0.99771053,4,0.00039068,0,-0.00112925,0.00390086,0.00031122
56,424,-0.24269049,-3.03123498,0,-3,0.99759066,4,0.00065601,0,-0.00118851,0.00391961,0.00026255
58,424,-0.24511714,-3.03391385,0,-3,0.99762487,4,0.00051372,0,-0.00123179,0.00393674,0.00020874
60,424,-0.2460409,-3.03964758,0,-3,0.99760711,4,0.00060715,0,-0.00127517,0.00395028,0.00014258
62,424,-0.24848019,-3.04607964,0,-3,0.997612,4,0.00069203,0,-0.00131429,0.00396542,0.0000677
64,424,-0.25105801,-3.04993725,0,-3,0.99756163,4,0.00065699,0,-0.00135444,0.0039791,-0.00002087
66,424,-0.25329232,-3.05442762,0,-3,0.9975608,4,0.00074616,0,-0.00136908,0.00398782,-0.00011613
68,424,-0.25681672,-3.05919766,0,-3,0.9975282,4,0.00053945,0,-0.00136315,0.00399232,-0.00022374
70,424,-0.26145485,-3.0650394,0,-3,0.9974097,4,0.00049449,0,-0.00135736,0.00399348,-0.00034592
72,424,-0.26533088,-3.07208443,0,-3,0.99732614,4,0.00059589,0,-0.00134277,0.00398757,-0.00047983
74,424,-0.26753548,-3.07832789,0,-3,0.99722075,4,0.00040025,0,-0.00130875,0.00396839,-0.00061913
76,424,-0.26953518,-3.08641887,0,-3,0.99706173,4,0.00056844,0,-0.00126752,0.00394103,-0.00076341
78,424,-0.27463996,-3.09632874,0,-3,0.99693936,4,0.00064726,0,-0.00123281,0.00390185,-0.00090194
80,424,-0.27691433,-3.10810709,0,-3,0.99672198,4,0.00039732,0,-0.00117746,0.00385346,-0.00104397
82,424,-0.28147897,-3.11960626,0,-3,0.99660474,4,0.00056425,0,-0.00111861,0.0037957,-0.00119165
84,424,-0.28039613,-3.13140702,0,-3,0.99651474,4,0.0005205,0,-0.00105842,0.00372666,-0.00132384
86,424,-0.28188241,-3.14522767,0,-3,0.99654675,4,0.00058368,0,-0.00100227,0.00365024,-0.00144141
88,424,-0.28487733,-3.15906048,0,-3,0.99667442,4,0.00063335,0,-0.00094585,0.00356248,-0.00153306
90,424,-0.28688732,-3.17309475,0,-3,0.99666637,4,0.00072606,0,-0.00090669,0.00346283,-0.00161423
92,424,-0.287267,-3.18657255,0,-3,0.99667054,4,0.00075588,0,-0.00087501,0.00335211,-0.00167479
94,424,-0.28990158,-3.2007587,0,-3,0.99685311,4,0.00051171,0,-0.0008452,0.00323065,-0.00170777
96,424,-0.29394767,-3.21421432,0,-3,0.99709082,4,0.00060653,0,-0.0008149,0.00309745,-0.00171046
98,424,-0.29325941,-3.23021674,0,-3,0.99724132,4,0.00073858,0,-0.00082066,0.0029499,-0.00168325
100,424,-0.29377967,-3.24803758,0,-3,0.99750775,4,0.0006938,0,-0.00085,0.00279693,-0.00162782
102,424,-0.29664612,-3.26207829,0,-3,0.99763262,4,0.00067673,0,-0.00088129,0.00262547,-0.00155608
104,424,-0.29833823,-3.27695131,0,-3,0.99782962,4,0.000908,0,-0.00161784,0.00302461,-0.00150957
106,424,-0.29933086,-3.28852868,0,-3,0.99796963,4,0.00047091,0,-0.00049207,0.00231055,-0.00194584
108,424,-0.30183217,-3.304636,0,-3,0.99807411,4,0.00053468,0,-0.00152135,0.00161793,-0.00292936
110,424,-0.30417654,-3.31887746,0,-3,0.99824947,4,0.0006718,0,-0.00117967,0.00008005,-0.00270443
112,424,-0.30638975,-3.33220053,0,-3,0.99834049,4,0.0005076,0,-0.0035914,-0.00710928,-0.00729708
114,424,-0.30822501,-3.34393883,0,-3,0.99845439,4,0.00061639,0,-0.00408471,-0.01660592,-0.01229429
116,424,-0.31518248,-3.35142517,0,-3,0.99853349,4,0.0006066,0,-0.00708752,-0.02190286,-0.0154306
118,424,-0.31700695,-3.35907292,0,-3,0.99863136,4,0.00077996,0,-0.00866605,-0.02724607,-0.01826006
120,424,-0.31683436,-3.37103462,0,-3,0.99869049,5,0.00029135,0,-0.00944443,-0.03086075,-0.01916953
122,424,-0.32726985,-3.37649369,0,-3,0.99873978,4,0.00056901,0,-0.00928763,-0.03509477,-0.02042066
124,424,-0.32982406,-3.3860395,0,-3,0.99880004,5,0.00024053,0,-0.00796065,-0.03862276,-0.02036868
126,424,-0.34056643,-3.38993907,0,-3,0.99880445,4,0.00097718,0,-0.00625136,-0.04336952,-0.02070534
128,424,-0.34325954,-3.39584017,0,-3,0.99883354,5,0.00018074,0,0.00550148,-0.04630203,-0.01479394
130,424,-0.35528067,-3.39655995,0,-3,0.99887544,5,0.00026305,0,0.00497702,-0.0473815,-0.01325825
132,424,-0.36290979,-3.39912796,0,-3,0.99888194,5,0.00022145,0,0.00519534,-0.05243148,-0.01269153
134,424,-0.37117499,-3.40557861,0,-3,0.99887991,4,0.00091473,0,0.00509474,-0.05354698,-0.01045296
136,424,0.36945599,-4.52010393,-2,0,0.90430409,10,0.36931795,0,0.00596184,-0.05019384,-0.0091737
138,424,-0.50564301,-4.35757303,-1,0,0.89669156,10,0.26880127,0,0.0069073,-0.05259264,-0.00589187
140,424,-0.39217684,-3.41216636,0,0,0.99816972,10,0.31056324,0,0.01091401,-0.05154279,0.00113274
142,424,-0.40285552,-3.40999293,0,0,0.99790025,10,0.37335727,0,0.00333823,-0.05103956,0.0053445
144,424,-0.43534929,-3.43495202,0,0,0.98994309,10,0.92479879,0,0.00106273,-0.04977262,0.0068158
146,424,-0.42854574,-3.41600275,0,0,0.99856561,10,0.2132796,0,0.00084902,-0.04223419,0.01799262
148,424,-0.43510568,-3.41590166,0,0,0.99828094,10,0.2803129,0,-0.00485439,-0.02802939,0.02248772
150,424,-0.58066154,-3.46739578,0,0,0.97783303,10,1.31542695,0,-0.00633095,-0.01742249,0.02703857
152,424,-0.49835387,-3.41613412,1,0,0.99794346,10,0.47901532,0,-0.01121967,-0.01389583,0.02926112
154,424,-0.46219987,-3.40842748,0,-3,0.99868029,4,0.00049784,0,-0.0164804,-0.01378414,0.02727537
156,424,-0.46656582,-3.40757251,0,-3,0.99863666,4,0.00059075,0,-0.02127023,-0.0149326,0.02542763
158,424,-0.48064646,-3.39976954,0,-3,0.99863541,4,0.00049709,0,-0.01395455,-0.01552367,0.0181281
160,424,-0.48641205,-3.39675188,0,-3,0.99860507,4,0.00065669,0,-0.01469742,-0.01423856,0.01619598
162,424,-0.497504,-3.39113903,0,-3,0.99858016,4,0.00030241,0,-0.01497209,-0.01181071,0.01485661
164,424,-0.50350308,-3.38095856,0,-3,0.99850547,5,0.00058122,0,-0.01382436,-0.00891278,0.01518022
166,424,-0.5046379,-3.37228322,0,-3,0.9984507,5,0.00088956,0,-0.01211455,-0.00520492,0.01595124
168,424,-0.50933057,-3.35976815,0,-3,0.99834889,5,0.00064426,0,-0.00976099,-0.00248028,0.01449293
170,424,-0.51345789,-3.34883809,0,-3,0.99824941,6,0.00040977,0,-0.00410039,-0.00446179,0.01160389
172,424,-0.51873207,-3.33524823,0,-3,0.99810106,5,0.00078496,0,-0.00224243,-0.00773551,0.01137848
174,424,-0.52314281,-3.32459021,0,-3,0.99793422,6,0.00033929,0,-0.00391475,-0.00412264,0.00977325
176,424,-0.52348423,-3.315763,0,-3,0.99772656,5,0.00074062,0,0.00082649,-0.00344543,0.00682018
178,424,-0.5277282,-3.30511689,0,-3,0.99747068,5,0.00063099,0,0.00039563,-0.00185448,0.00678438
